id;start_date;end_date;language
1;2024-05-27T15:21:09;2024-05-27T11:07:34;SPANISH
2;2024-05-26T21:35:19;2024-05-27T06:35:15;ENGLISH
3;2024-05-27T04:53:25;2024-05-26T21:09:20;FRENCH
4;2024-05-26T20:10:48;2024-05-27T04:10:17;SPANISH
5;2024-05-27T16:02:45;2024-05-27T15:34:51;FRENCH
6;2024-05-27T12:18:10;2024-05-27T18:51:31;SPANISH
7;2024-05-27T07:48:12;2024-05-26T20:09:20;FRENCH
8;2024-05-27T02:17:12;2024-05-27T08:14:56;SPANISH
9;2024-05-27T18:09:05;2024-05-27T17:56:51;SPANISH
10;2024-05-27T00:50:33;2024-05-27T18:52:56;FRENCH
